#seq,BW_1,BW_2,BW_3,BW_4,BW_5,BW_6,BW_7,DC_1,DC_2,DC_3,DC_4,DC_5,DC_6,DC_7,DC_8,DC_9,DC_10,QCS_1,QCS_2,QCS_3,QCS_4,QCS_5,QCS_6,QCS_7,QCS_8,TH_1,TH_2,TH_3,TH_4,TH_5,TH_6,TH_7,TH_8,TH_9,TH_10
ASV_35,0,0,0,0,0,75,0,252,837,452,416,753,556,962,251,479,439,0,0,0,0,0,0,0,0,0,0,36,0,95,0,24,0,39,0
ASV_37,0,0,0,0,575,309,0,208,842,435,366,352,460,606,279,341,436,0,0,0,0,0,0,0,0,0,0,0,60,0,61,0,0,0,0
ASV_42,0,0,0,0,0,202,0,195,750,272,346,726,547,699,217,522,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
ASV_45,0,0,0,0,0,0,0,186,705,432,346,610,569,809,287,233,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
ASV_47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,445,218,153,522,314,163,181,843,841
ASV_51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,317,177,185,630,358,168,160,898,808
ASV_55,0,0,0,0,665,303,0,173,566,469,182,149,316,626,252,207,345,0,0,0,0,0,0,0,0,0,0,0,25,0,37,0,0,0,0
ASV_57,0,0,0,0,251,0,78,156,634,262,362,490,451,621,185,357,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
ASV_58,0,0,0,0,0,71,0,197,585,415,229,372,389,810,253,363,289,0,0,0,0,0,0,0,0,0,0,27,0,63,0,19,0,35,0
ASV_59,0,0,0,0,0,0,177,232,635,199,340,447,490,582,184,466,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_60,0,0,0,0,0,0,375,189,609,367,248,390,410,656,258,164,456,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
ASV_62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,485,218,156,370,193,99,124,924,677
ASV_63,0,0,0,0,229,0,0,183,736,296,291,531,406,593,165,305,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
ASV_64,0,0,0,0,0,0,133,180,582,348,376,458,497,676,211,328,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_66,0,0,0,0,0,0,0,201,673,59,275,793,521,553,105,454,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,486,252,119,454,149,118,191,648,860
ASV_70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,343,181,154,483,320,163,132,768,663
ASV_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,368,151,126,465,160,144,162,788,830
ASV_83,0,0,0,0,0,0,0,152,599,522,198,188,241,797,335,168,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
ASV_87,0,0,0,0,0,0,415,167,641,116,301,488,345,410,76,357,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
ASV_88,0,0,0,0,0,223,0,131,591,330,239,281,266,641,230,327,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
ASV_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,308,154,168,566,80,166,139,794,598
ASV_91,0,0,0,0,0,394,0,163,586,242,259,373,335,418,140,305,350,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
ASV_95,0,0,0,0,0,0,0,15,85,27,13,21,31,13,36,14,29,0,0,0,0,0,0,0,0,167,39,399,370,586,680,312,288,94,69
ASV_96,0,0,0,0,0,0,0,9,96,21,26,39,19,18,26,42,21,0,0,0,0,0,0,0,0,221,34,606,257,561,602,260,339,49,46
ASV_97,0,0,0,0,0,0,410,175,560,411,150,194,248,649,248,138,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_99,0,0,0,0,327,0,69,155,627,275,163,200,353,553,211,225,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
ASV_101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,440,163,72,305,83,95,107,743,731
ASV_105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,459,210,123,399,298,125,115,399,468
ASV_106,0,0,0,0,195,339,0,130,528,47,265,434,402,345,37,275,229,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,40
ASV_107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,444,134,117,368,47,107,122,726,549
ASV_109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,388,156,125,409,98,91,165,599,674
ASV_112,0,0,0,0,232,0,0,170,539,282,239,206,275,534,219,300,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
ASV_114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,320,145,110,421,95,127,154,671,674
ASV_115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,444,81,83,331,146,70,110,505,511
ASV_116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,344,169,151,442,37,138,151,655,679
ASV_118,0,0,0,0,0,0,102,181,607,133,310,340,332,415,115,300,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_123,0,0,0,0,0,0,174,187,475,288,171,170,260,548,169,332,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_124,0,0,0,0,0,0,0,30,62,17,10,32,10,13,9,27,31,0,0,0,0,0,0,0,0,143,17,423,278,486,634,253,290,57,46
ASV_126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,301,211,92,330,289,153,116,230,617
ASV_129,0,0,0,0,0,0,160,121,398,356,215,211,319,498,231,221,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_132,0,0,0,0,0,0,493,115,456,136,195,214,250,427,116,330,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
ASV_134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,504,83,67,250,104,63,130,482,554
ASV_137,0,0,0,0,0,0,0,243,367,273,310,349,279,462,176,232,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_138,0,0,0,0,0,0,143,129,493,54,231,492,386,336,75,298,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_144,0,0,0,0,0,0,0,6,63,9,12,46,20,11,28,50,39,0,0,0,0,0,0,0,0,213,65,401,215,404,355,235,269,56,47
ASV_146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,424,141,61,310,50,100,120,503,677
ASV_147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,534,78,90,159,176,98,27,473,709
ASV_149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,392,159,61,262,19,105,103,615,532
ASV_153,0,0,0,0,0,424,0,140,438,217,152,183,227,345,191,239,208,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
ASV_154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,390,74,130,139,196,90,74,582,657
ASV_155,0,0,0,0,0,0,0,14,56,31,13,9,8,25,37,35,29,0,0,0,0,0,0,0,0,183,64,466,231,465,318,205,272,54,48
ASV_157,0,0,0,0,0,0,0,167,539,94,156,290,290,532,104,299,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,424,145,82,358,92,75,136,359,537
ASV_160,0,0,0,0,0,0,0,8,71,12,18,20,18,28,17,32,15,0,0,0,0,0,0,0,0,182,26,468,208,366,565,225,228,0,48
ASV_163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,113,341,201,83,304,105,92,139,203,666
ASV_164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,528,72,84,105,92,66,66,618,571
